date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-07-10,60.44,60.94,60.14,60.2,60.2,573019.0,-0.0038060565944066926,Oil,Yahoo Finance
2019-07-11,60.46,60.74,59.93,60.21,60.21,469029.0,0.00016611295681068228,Oil,Yahoo Finance
2019-07-12,60.46,60.74,59.93,60.21,60.21,469029.0,0.0,Oil,Yahoo Finance
2019-07-13,60.46,60.74,59.93,60.21,60.21,469029.0,0.0,Oil,Yahoo Finance
2019-07-14,60.25,60.92,59.2,59.58,59.58,566818.0,-0.010463378176382654,Oil,Yahoo Finance
2019-07-15,59.26,60.06,57.07,57.62,57.62,712540.0,-0.03289694528365228,Oil,Yahoo Finance
2019-07-16,57.52,58.36,56.21,56.78,56.78,504432.0,-0.014578271433529966,Oil,Yahoo Finance
2019-07-17,56.6,57.32,54.72,55.3,55.3,215361.0,-0.026065516026770097,Oil,Yahoo Finance
2019-07-18,55.72,56.36,54.99,55.63,55.63,105217.0,0.005967450271247898,Oil,Yahoo Finance
2019-07-19,55.72,56.36,54.99,55.63,55.63,105217.0,0.0,Oil,Yahoo Finance
2019-07-20,55.72,56.36,54.99,55.63,55.63,105217.0,0.0,Oil,Yahoo Finance
2019-07-21,56.22,56.84,55.72,56.22,56.22,619483.0,0.010605788243753356,Oil,Yahoo Finance
2019-07-22,56.17,57.47,55.74,56.77,56.77,521876.0,0.009782995375311243,Oil,Yahoo Finance
2019-07-23,57.23,57.64,55.33,55.88,55.88,745248.0,-0.015677294345605053,Oil,Yahoo Finance
2019-07-24,55.9,56.99,55.81,56.02,56.02,559282.0,0.0025053686471010472,Oil,Yahoo Finance
2019-07-25,55.93,56.57,55.68,56.2,56.2,476785.0,0.003213138164941176,Oil,Yahoo Finance
2019-07-26,55.93,56.57,55.68,56.2,56.2,476785.0,0.0,Oil,Yahoo Finance
2019-07-27,55.93,56.57,55.68,56.2,56.2,476785.0,0.0,Oil,Yahoo Finance
2019-07-28,56.2,57.1,55.81,56.87,56.87,529742.0,0.011921708185053337,Oil,Yahoo Finance
2019-07-29,57.07,58.47,56.96,58.05,58.05,547401.0,0.020749076841920067,Oil,Yahoo Finance
2019-07-30,58.34,58.82,57.81,58.58,58.58,614001.0,0.009130060292851017,Oil,Yahoo Finance
2019-07-31,57.85,57.99,53.59,53.95,53.95,886748.0,-0.0790372140662341,Oil,Yahoo Finance
2019-08-01,54.54,56.05,54.15,55.66,55.66,739810.0,0.03169601482854478,Oil,Yahoo Finance
2019-08-02,54.54,56.05,54.15,55.66,55.66,739810.0,0.0,Oil,Yahoo Finance
2019-08-03,54.54,56.05,54.15,55.66,55.66,739810.0,0.0,Oil,Yahoo Finance
2019-08-04,55.38,55.61,54.22,54.69,54.69,823844.0,-0.017427236794825718,Oil,Yahoo Finance
2019-08-05,54.95,55.42,53.29,53.63,53.63,682794.0,-0.019381971109892038,Oil,Yahoo Finance
2019-08-06,53.42,53.77,50.52,51.09,51.09,1063214.0,-0.047361551370501576,Oil,Yahoo Finance
2019-08-07,52.33,53.06,51.94,52.54,52.54,724762.0,0.028381287923272547,Oil,Yahoo Finance
2019-08-08,52.88,54.92,52.37,54.5,54.5,726386.0,0.03730491054434726,Oil,Yahoo Finance
2019-08-09,52.88,54.92,52.37,54.5,54.5,726386.0,0.0,Oil,Yahoo Finance
2019-08-10,52.88,54.92,52.37,54.5,54.5,726386.0,0.0,Oil,Yahoo Finance
2019-08-11,54.32,55.18,53.54,54.93,54.93,611027.0,0.007889908256880629,Oil,Yahoo Finance
2019-08-12,54.73,57.47,54.21,57.1,57.1,783486.0,0.03950482432186431,Oil,Yahoo Finance
2019-08-13,56.74,56.85,53.97,55.23,55.23,718293.0,-0.03274956217162883,Oil,Yahoo Finance
2019-08-14,54.9,55.33,53.77,54.47,54.47,527866.0,-0.013760637334781833,Oil,Yahoo Finance
2019-08-15,54.74,55.67,54.26,54.87,54.87,168345.0,0.007343491830365423,Oil,Yahoo Finance
